"";"month_id";"month";"year";"fatalities";"log_change_s1";"log_change_s2";"log_change_s3";"log_change_s4";"log_change_s5";"log_change_s6";"log_change_s7"
"9298";108;12;1988;0;NA;NA;NA;NA;NA;NA;NA
"9299";109;1;1989;0;0;NA;NA;NA;NA;NA;NA
"9300";110;2;1989;0;0;0;NA;NA;NA;NA;NA
"9301";111;3;1989;63;4,15888308335967;4,15888308335967;4,15888308335967;NA;NA;NA;NA
"9302";112;4;1989;0;-4,15888308335967;0;0;0;NA;NA;NA
"9303";113;5;1989;0;0;-4,15888308335967;0;0;0;NA;NA
"9304";114;6;1989;0;0;0;-4,15888308335967;0;0;0;NA
"9305";115;7;1989;0;0;0;0;-4,15888308335967;0;0;0
"9306";116;8;1989;0;0;0;0;0;-4,15888308335967;0;0
"9307";117;9;1989;0;0;0;0;0;0;-4,15888308335967;0
"9308";118;10;1989;0;0;0;0;0;0;0;-4,15888308335967
"9309";119;11;1989;0;0;0;0;0;0;0;0
"9310";120;12;1989;0;0;0;0;0;0;0;0
"9311";121;1;1990;0;0;0;0;0;0;0;0
"9312";122;2;1990;0;0;0;0;0;0;0;0
"9313";123;3;1990;0;0;0;0;0;0;0;0
"9314";124;4;1990;0;0;0;0;0;0;0;0
"9315";125;5;1990;7;2,07944154167984;2,07944154167984;2,07944154167984;2,07944154167984;2,07944154167984;2,07944154167984;2,07944154167984
"9316";126;6;1990;0;-2,07944154167984;0;0;0;0;0;0
"9317";127;7;1990;0;0;-2,07944154167984;0;0;0;0;0
"9318";128;8;1990;0;0;0;-2,07944154167984;0;0;0;0
"9319";129;9;1990;0;0;0;0;-2,07944154167984;0;0;0
"9320";130;10;1990;0;0;0;0;0;-2,07944154167984;0;0
"9321";131;11;1990;0;0;0;0;0;0;-2,07944154167984;0
"9322";132;12;1990;0;0;0;0;0;0;0;-2,07944154167984
"9323";133;1;1991;0;0;0;0;0;0;0;0
"9324";134;2;1991;0;0;0;0;0;0;0;0
"9325";135;3;1991;0;0;0;0;0;0;0;0
"9326";136;4;1991;0;0;0;0;0;0;0;0
"9327";137;5;1991;0;0;0;0;0;0;0;0
"9328";138;6;1991;0;0;0;0;0;0;0;0
"9329";139;7;1991;0;0;0;0;0;0;0;0
"9330";140;8;1991;0;0;0;0;0;0;0;0
"9331";141;9;1991;0;0;0;0;0;0;0;0
"9332";142;10;1991;0;0;0;0;0;0;0;0
"9333";143;11;1991;0;0;0;0;0;0;0;0
"9334";144;12;1991;17;2,89037175789616;2,89037175789616;2,89037175789616;2,89037175789616;2,89037175789616;2,89037175789616;2,89037175789616
"9335";145;1;1992;0;-2,89037175789616;0;0;0;0;0;0
"9336";146;2;1992;0;0;-2,89037175789616;0;0;0;0;0
"9337";147;3;1992;29;3,40119738166216;3,40119738166216;0,510825623765991;3,40119738166216;3,40119738166216;3,40119738166216;3,40119738166216
"9338";148;4;1992;76;0,942608040191529;4,34380542185368;4,34380542185368;1,45343366395752;4,34380542185368;4,34380542185368;4,34380542185368
"9339";149;5;1992;1;-3,65065824129374;-2,70805020110221;0,693147180559945;0,693147180559945;-2,19722457733622;0,693147180559945;0,693147180559945
"9340";150;6;1992;3;0,693147180559945;-2,95751106073379;-2,01490302054227;1,38629436111989;1,38629436111989;-1,50407739677627;1,38629436111989
"9341";151;7;1992;13;1,25276296849537;1,94591014905531;-1,70474809223843;-0,762140052046897;2,63905732961526;2,63905732961526;-0,251314428280906
"9342";152;8;1992;9;-0,336472236621213;0,916290731874155;1,6094379124341;-2,04122032885964;-1,09861228866811;2,30258509299405;2,30258509299405
"9343";153;9;1992;0;-2,30258509299405;-2,63905732961526;-1,38629436111989;-0,693147180559945;-4,34380542185368;-3,40119738166216;0
"9344";154;10;1992;0;0;-2,30258509299405;-2,63905732961526;-1,38629436111989;-0,693147180559945;-4,34380542185368;-3,40119738166216
"9345";155;11;1992;0;0;0;-2,30258509299405;-2,63905732961526;-1,38629436111989;-0,693147180559945;-4,34380542185368
"9346";156;12;1992;28;3,36729582998647;3,36729582998647;3,36729582998647;1,06471073699243;0,728238500371216;1,98100146886658;2,67414864942653
"9347";157;1;1993;0;-3,36729582998647;0;0;0;-2,30258509299405;-2,63905732961526;-1,38629436111989
"9348";158;2;1993;17;2,89037175789616;-0,47692407209031;2,89037175789616;2,89037175789616;2,89037175789616;0,587786664902119;0,251314428280906
"9349";159;3;1993;0;-2,89037175789616;0;-3,36729582998647;0;0;0;-2,30258509299405
