"";"month_id";"month";"year";"fatalities";"log_change_s1";"log_change_s2";"log_change_s3";"log_change_s4";"log_change_s5";"log_change_s6";"log_change_s7"
"8522";108;12;1988;0;NA;NA;NA;NA;NA;NA;NA
"8523";109;1;1989;0;0;NA;NA;NA;NA;NA;NA
"8524";110;2;1989;0;0;0;NA;NA;NA;NA;NA
"8525";111;3;1989;0;0;0;0;NA;NA;NA;NA
"8526";112;4;1989;0;0;0;0;0;NA;NA;NA
"8527";113;5;1989;0;0;0;0;0;0;NA;NA
"8528";114;6;1989;0;0;0;0;0;0;0;NA
"8529";115;7;1989;0;0;0;0;0;0;0;0
"8530";116;8;1989;0;0;0;0;0;0;0;0
"8531";117;9;1989;0;0;0;0;0;0;0;0
"8532";118;10;1989;0;0;0;0;0;0;0;0
"8533";119;11;1989;0;0;0;0;0;0;0;0
"8534";120;12;1989;0;0;0;0;0;0;0;0
"8535";121;1;1990;1;0,693147180559945;0,693147180559945;0,693147180559945;0,693147180559945;0,693147180559945;0,693147180559945;0,693147180559945
"8536";122;2;1990;0;-0,693147180559945;0;0;0;0;0;0
"8537";123;3;1990;0;0;-0,693147180559945;0;0;0;0;0
"8538";124;4;1990;3;1,38629436111989;1,38629436111989;0,693147180559945;1,38629436111989;1,38629436111989;1,38629436111989;1,38629436111989
"8539";125;5;1990;0;-1,38629436111989;0;0;-0,693147180559945;0;0;0
"8540";126;6;1990;0;0;-1,38629436111989;0;0;-0,693147180559945;0;0
"8541";127;7;1990;0;0;0;-1,38629436111989;0;0;-0,693147180559945;0
"8542";128;8;1990;0;0;0;0;-1,38629436111989;0;0;-0,693147180559945
"8543";129;9;1990;0;0;0;0;0;-1,38629436111989;0;0
"8544";130;10;1990;0;0;0;0;0;0;-1,38629436111989;0
"8545";131;11;1990;0;0;0;0;0;0;0;-1,38629436111989
"8546";132;12;1990;0;0;0;0;0;0;0;0
"8547";133;1;1991;0;0;0;0;0;0;0;0
"8548";134;2;1991;0;0;0;0;0;0;0;0
"8549";135;3;1991;0;0;0;0;0;0;0;0
"8550";136;4;1991;0;0;0;0;0;0;0;0
"8551";137;5;1991;0;0;0;0;0;0;0;0
"8552";138;6;1991;0;0;0;0;0;0;0;0
"8553";139;7;1991;0;0;0;0;0;0;0;0
"8554";140;8;1991;0;0;0;0;0;0;0;0
"8555";141;9;1991;0;0;0;0;0;0;0;0
"8556";142;10;1991;0;0;0;0;0;0;0;0
"8557";143;11;1991;0;0;0;0;0;0;0;0
"8558";144;12;1991;0;0;0;0;0;0;0;0
"8559";145;1;1992;0;0;0;0;0;0;0;0
"8560";146;2;1992;0;0;0;0;0;0;0;0
"8561";147;3;1992;0;0;0;0;0;0;0;0
"8562";148;4;1992;0;0;0;0;0;0;0;0
"8563";149;5;1992;0;0;0;0;0;0;0;0
"8564";150;6;1992;1;0,693147180559945;0,693147180559945;0,693147180559945;0,693147180559945;0,693147180559945;0,693147180559945;0,693147180559945
"8565";151;7;1992;0;-0,693147180559945;0;0;0;0;0;0
"8566";152;8;1992;7;2,07944154167984;1,38629436111989;2,07944154167984;2,07944154167984;2,07944154167984;2,07944154167984;2,07944154167984
"8567";153;9;1992;0;-2,07944154167984;0;-0,693147180559945;0;0;0;0
"8568";154;10;1992;1;0,693147180559945;-1,38629436111989;0,693147180559945;0;0,693147180559945;0,693147180559945;0,693147180559945
"8569";155;11;1992;0;-0,693147180559945;0;-2,07944154167984;0;-0,693147180559945;0;0
"8570";156;12;1992;4;1,6094379124341;0,916290731874155;1,6094379124341;-0,470003629245735;1,6094379124341;0,916290731874155;1,6094379124341
"8571";157;1;1993;1;-0,916290731874155;0,693147180559945;0;0,693147180559945;-1,38629436111989;0,693147180559945;0
"8572";158;2;1993;1;0;-0,916290731874155;0,693147180559945;0;0,693147180559945;-1,38629436111989;0,693147180559945
"8573";159;3;1993;42;3,06805293513362;3,06805293513362;2,15176220325946;3,76120011569356;3,06805293513362;3,76120011569356;1,68175857401373
"8574";160;4;1993;3;-2,37490575457367;0,693147180559945;0,693147180559945;-0,22314355131421;1,38629436111989;0,693147180559945;1,38629436111989
"8575";161;5;1993;4;0,22314355131421;-2,15176220325946;0,916290731874155;0,916290731874155;0;1,6094379124341;0,916290731874155
"8576";162;6;1993;3;-0,22314355131421;0;-2,37490575457367;0,693147180559945;0,693147180559945;-0,22314355131421;1,38629436111989
"8577";163;7;1993;11;1,09861228866811;0,8754687373539;1,09861228866811;-1,27629346590556;1,79175946922805;1,79175946922805;0,8754687373539
"8578";164;8;1993;4;-0,8754687373539;0,22314355131421;0;0,22314355131421;-2,15176220325946;0,916290731874155;0,916290731874155
"8579";165;9;1993;11;0,8754687373539;0;1,09861228866811;0,8754687373539;1,09861228866811;-1,27629346590556;1,79175946922805
"8580";166;10;1993;2;-1,38629436111989;-0,51082562376599;-1,38629436111989;-0,287682072451781;-0,51082562376599;-0,287682072451781;-2,66258782702545
"8581";167;11;1993;8;1,09861228866811;-0,287682072451781;0,587786664902119;-0,287682072451781;0,810930216216329;0,587786664902119;0,810930216216329
"8582";168;12;1993;18;0,747214401830221;1,84582669049833;0,45953232937844;1,33500106673234;0,45953232937844;1,55814461804655;1,33500106673234
"8583";169;1;1994;11;-0,45953232937844;0,287682072451781;1,38629436111989;0;0,8754687373539;0;1,09861228866811
"8584";170;2;1994;29;0,916290731874155;0,456758402495715;1,20397280432594;2,30258509299405;0,916290731874155;1,79175946922806;0,916290731874155
"8585";171;3;1994;21;-0,310154928303839;0,606135803570316;0,146603474191876;0,893817876022097;1,99243016469021;0,606135803570316;1,48160454092422
"8586";172;4;1994;20;-0,046520015634893;-0,356674943938732;0,559615787935423;0,100083458556983;0,847297860387203;1,94591014905531;0,559615787935423
"8587";173;5;1994;0;-3,04452243772342;-3,09104245335832;-3,40119738166216;-2,484906649788;-2,94443897916644;-2,19722457733622;-1,09861228866811
"8588";174;6;1994;0;0;-3,04452243772342;-3,09104245335832;-3,40119738166216;-2,484906649788;-2,94443897916644;-2,19722457733622
"8589";175;7;1994;1;0,693147180559945;0,693147180559945;-2,35137525716348;-2,39789527279837;-2,70805020110221;-1,79175946922805;-2,2512917986065
"8590";176;8;1994;12;1,87180217690159;2,56494935746154;2,56494935746154;-0,479573080261886;-0,526093095896779;-0,836248024200619;0,0800427076735364
"8591";177;9;1994;23;0,613104472886409;2,484906649788;3,17805383034795;3,17805383034795;0,133531392624523;0,0870113769896297;-0,22314355131421
"8592";178;10;1994;18;-0,233614851181505;0,379489621704904;2,2512917986065;2,94443897916644;2,94443897916644;-0,100083458556983;-0,146603474191876
"8593";179;11;1994;7;-0,864997437486605;-1,09861228866811;-0,485507815781701;1,38629436111989;2,07944154167984;2,07944154167984;-0,965080896043587
"8594";180;12;1994;20;0,965080896043587;0,100083458556983;-0,133531392624523;0,479573080261886;2,35137525716348;3,04452243772342;3,04452243772342
"8595";181;1;1995;56;0,998528830111127;1,96360972615471;1,09861228866811;0,864997437486605;1,47810191037301;3,3499040872746;4,04305126783455
"8596";182;2;1995;7;-1,96360972615471;-0,965080896043587;0;-0,864997437486605;-1,09861228866811;-0,485507815781701;1,38629436111989
"8597";183;3;1995;9;0,22314355131421;-1,7404661748405;-0,741937344729377;0,22314355131421;-0,641853886172394;-0,8754687373539;-0,262364264467491
"8598";184;4;1995;3;-0,916290731874155;-0,693147180559945;-2,65675690671466;-1,65822807660353;-0,693147180559945;-1,55814461804655;-1,79175946922806
"8599";185;5;1995;19;1,6094379124341;0,693147180559945;0,916290731874155;-1,04731899428056;-0,0487901641694322;0,916290731874155;0,0512932943875506
"8600";186;6;1995;48;0,896088024556636;2,50552593699074;1,58923520511658;1,81237875643079;-0,151230969723924;0,847297860387203;1,81237875643079
"8601";187;7;1995;12;-1,32687094064909;-0,430782916092454;1,17865499634165;0,262364264467491;0,485507815781701;-1,47810191037301;-0,479573080261886
"8602";188;8;1995;26;0,730887508542792;-0,595983432106297;0,300104592450338;1,90954250488444;0,993251773010283;1,21639532432449;-0,747214401830221
"8603";189;9;1995;10;-0,897941593205958;-0,167054084663166;-1,49392502531226;-0,59783700075562;1,01160091167848;0,0953101798043248;0,318453731118535
"8604";190;10;1995;18;0,54654370636807;-0,351397886837889;0,379489621704904;-0,947381318944186;-0,0512932943875506;1,55814461804655;0,641853886172394
"8605";191;11;1995;13;-0,305381649551182;0,241162056816888;-0,656779536389071;0,0741079721537217;-1,25276296849537;-0,356674943938732;1,25276296849537
"8606";192;12;1995;12;-0,0741079721537217;-0,379489621704904;0,167054084663166;-0,730887508542792;0;-1,32687094064909;-0,430782916092454
