"";"month_id";"month";"year";"fatalities";"log_change_s1";"log_change_s2";"log_change_s3";"log_change_s4";"log_change_s5";"log_change_s6";"log_change_s7"
"3105";108;12;1988;0;NA;NA;NA;NA;NA;NA;NA
"3106";109;1;1989;0;0;NA;NA;NA;NA;NA;NA
"3107";110;2;1989;0;0;0;NA;NA;NA;NA;NA
"3108";111;3;1989;0;0;0;0;NA;NA;NA;NA
"3109";112;4;1989;0;0;0;0;0;NA;NA;NA
"3110";113;5;1989;0;0;0;0;0;0;NA;NA
"3111";114;6;1989;0;0;0;0;0;0;0;NA
"3112";115;7;1989;0;0;0;0;0;0;0;0
"3113";116;8;1989;0;0;0;0;0;0;0;0
"3114";117;9;1989;0;0;0;0;0;0;0;0
"3115";118;10;1989;0;0;0;0;0;0;0;0
"3116";119;11;1989;0;0;0;0;0;0;0;0
"3117";120;12;1989;0;0;0;0;0;0;0;0
"3118";121;1;1990;0;0;0;0;0;0;0;0
"3119";122;2;1990;0;0;0;0;0;0;0;0
"3120";123;3;1990;0;0;0;0;0;0;0;0
"3121";124;4;1990;0;0;0;0;0;0;0;0
"3122";125;5;1990;0;0;0;0;0;0;0;0
"3123";126;6;1990;0;0;0;0;0;0;0;0
"3124";127;7;1990;0;0;0;0;0;0;0;0
"3125";128;8;1990;0;0;0;0;0;0;0;0
"3126";129;9;1990;0;0;0;0;0;0;0;0
"3127";130;10;1990;0;0;0;0;0;0;0;0
"3128";131;11;1990;0;0;0;0;0;0;0;0
"3129";132;12;1990;0;0;0;0;0;0;0;0
"3130";133;1;1991;0;0;0;0;0;0;0;0
"3131";134;2;1991;0;0;0;0;0;0;0;0
"3132";135;3;1991;0;0;0;0;0;0;0;0
"3133";136;4;1991;0;0;0;0;0;0;0;0
"3134";137;5;1991;0;0;0;0;0;0;0;0
"3135";138;6;1991;0;0;0;0;0;0;0;0
"3136";139;7;1991;0;0;0;0;0;0;0;0
"3137";140;8;1991;0;0;0;0;0;0;0;0
"3138";141;9;1991;0;0;0;0;0;0;0;0
"3139";142;10;1991;0;0;0;0;0;0;0;0
"3140";143;11;1991;0;0;0;0;0;0;0;0
"3141";144;12;1991;0;0;0;0;0;0;0;0
"3142";145;1;1992;0;0;0;0;0;0;0;0
"3143";146;2;1992;0;0;0;0;0;0;0;0
