"";"month_id";"month";"year";"fatalities";"log_change_s1";"log_change_s2";"log_change_s3";"log_change_s4";"log_change_s5";"log_change_s6";"log_change_s7"
"19838";108;12;1988;0;NA;NA;NA;NA;NA;NA;NA
"19839";109;1;1989;0;0;NA;NA;NA;NA;NA;NA
"19840";110;2;1989;0;0;0;NA;NA;NA;NA;NA
"19841";111;3;1989;0;0;0;0;NA;NA;NA;NA
"19842";112;4;1989;0;0;0;0;0;NA;NA;NA
"19843";113;5;1989;0;0;0;0;0;0;NA;NA
"19844";114;6;1989;0;0;0;0;0;0;0;NA
"19845";115;7;1989;0;0;0;0;0;0;0;0
"19846";116;8;1989;0;0;0;0;0;0;0;0
"19847";117;9;1989;0;0;0;0;0;0;0;0
"19848";118;10;1989;0;0;0;0;0;0;0;0
"19849";119;11;1989;0;0;0;0;0;0;0;0
"19850";120;12;1989;0;0;0;0;0;0;0;0
"19851";121;1;1990;0;0;0;0;0;0;0;0
"19852";122;2;1990;0;0;0;0;0;0;0;0
"19853";123;3;1990;0;0;0;0;0;0;0;0
"19854";124;4;1990;0;0;0;0;0;0;0;0
"19855";125;5;1990;0;0;0;0;0;0;0;0
"19856";126;6;1990;0;0;0;0;0;0;0;0
"19857";127;7;1990;0;0;0;0;0;0;0;0
"19858";128;8;1990;0;0;0;0;0;0;0;0
"19859";129;9;1990;0;0;0;0;0;0;0;0
"19860";130;10;1990;0;0;0;0;0;0;0;0
"19861";131;11;1990;0;0;0;0;0;0;0;0
"19862";132;12;1990;0;0;0;0;0;0;0;0
"19863";133;1;1991;0;0;0;0;0;0;0;0
"19864";134;2;1991;0;0;0;0;0;0;0;0
"19865";135;3;1991;0;0;0;0;0;0;0;0
"19866";136;4;1991;0;0;0;0;0;0;0;0
"19867";137;5;1991;0;0;0;0;0;0;0;0
"19868";138;6;1991;0;0;0;0;0;0;0;0
"19869";139;7;1991;0;0;0;0;0;0;0;0
"19870";140;8;1991;0;0;0;0;0;0;0;0
"19871";141;9;1991;0;0;0;0;0;0;0;0
"19872";142;10;1991;0;0;0;0;0;0;0;0
"19873";143;11;1991;0;0;0;0;0;0;0;0
"19874";144;12;1991;0;0;0;0;0;0;0;0
"19875";145;1;1992;0;0;0;0;0;0;0;0
"19876";146;2;1992;0;0;0;0;0;0;0;0
"19877";147;3;1992;0;0;0;0;0;0;0;0
"19878";148;4;1992;0;0;0;0;0;0;0;0
"19879";149;5;1992;0;0;0;0;0;0;0;0
"19880";150;6;1992;0;0;0;0;0;0;0;0
"19881";151;7;1992;0;0;0;0;0;0;0;0
"19882";152;8;1992;0;0;0;0;0;0;0;0
"19883";153;9;1992;0;0;0;0;0;0;0;0
"19884";154;10;1992;0;0;0;0;0;0;0;0
"19885";155;11;1992;0;0;0;0;0;0;0;0
"19886";156;12;1992;0;0;0;0;0;0;0;0
"19887";157;1;1993;0;0;0;0;0;0;0;0
"19888";158;2;1993;0;0;0;0;0;0;0;0
"19889";159;3;1993;0;0;0;0;0;0;0;0
"19890";160;4;1993;0;0;0;0;0;0;0;0
"19891";161;5;1993;0;0;0;0;0;0;0;0
"19892";162;6;1993;0;0;0;0;0;0;0;0
"19893";163;7;1993;0;0;0;0;0;0;0;0
"19894";164;8;1993;0;0;0;0;0;0;0;0
"19895";165;9;1993;0;0;0;0;0;0;0;0
"19896";166;10;1993;0;0;0;0;0;0;0;0
"19897";167;11;1993;0;0;0;0;0;0;0;0
"19898";168;12;1993;0;0;0;0;0;0;0;0
"19899";169;1;1994;0;0;0;0;0;0;0;0
"19900";170;2;1994;0;0;0;0;0;0;0;0
"19901";171;3;1994;0;0;0;0;0;0;0;0
"19902";172;4;1994;0;0;0;0;0;0;0;0
"19903";173;5;1994;0;0;0;0;0;0;0;0
"19904";174;6;1994;0;0;0;0;0;0;0;0
"19905";175;7;1994;0;0;0;0;0;0;0;0
"19906";176;8;1994;0;0;0;0;0;0;0;0
"19907";177;9;1994;0;0;0;0;0;0;0;0
"19908";178;10;1994;0;0;0;0;0;0;0;0
"19909";179;11;1994;0;0;0;0;0;0;0;0
"19910";180;12;1994;0;0;0;0;0;0;0;0
"19911";181;1;1995;0;0;0;0;0;0;0;0
"19912";182;2;1995;0;0;0;0;0;0;0;0
"19913";183;3;1995;0;0;0;0;0;0;0;0
"19914";184;4;1995;0;0;0;0;0;0;0;0
"19915";185;5;1995;0;0;0;0;0;0;0;0
"19916";186;6;1995;0;0;0;0;0;0;0;0
"19917";187;7;1995;0;0;0;0;0;0;0;0
"19918";188;8;1995;0;0;0;0;0;0;0;0
"19919";189;9;1995;0;0;0;0;0;0;0;0
"19920";190;10;1995;0;0;0;0;0;0;0;0
"19921";191;11;1995;0;0;0;0;0;0;0;0
"19922";192;12;1995;0;0;0;0;0;0;0;0
"19923";193;1;1996;0;0;0;0;0;0;0;0
"19924";194;2;1996;0;0;0;0;0;0;0;0
"19925";195;3;1996;0;0;0;0;0;0;0;0
"19926";196;4;1996;0;0;0;0;0;0;0;0
"19927";197;5;1996;0;0;0;0;0;0;0;0
"19928";198;6;1996;0;0;0;0;0;0;0;0
"19929";199;7;1996;0;0;0;0;0;0;0;0
"19930";200;8;1996;0;0;0;0;0;0;0;0
"19931";201;9;1996;0;0;0;0;0;0;0;0
"19932";202;10;1996;0;0;0;0;0;0;0;0
"19933";203;11;1996;0;0;0;0;0;0;0;0
"19934";204;12;1996;0;0;0;0;0;0;0;0
"19935";205;1;1997;0;0;0;0;0;0;0;0
"19936";206;2;1997;0;0;0;0;0;0;0;0
"19937";207;3;1997;0;0;0;0;0;0;0;0
"19938";208;4;1997;0;0;0;0;0;0;0;0
"19939";209;5;1997;0;0;0;0;0;0;0;0
"19940";210;6;1997;0;0;0;0;0;0;0;0
"19941";211;7;1997;0;0;0;0;0;0;0;0
"19942";212;8;1997;0;0;0;0;0;0;0;0
"19943";213;9;1997;0;0;0;0;0;0;0;0
"19944";214;10;1997;0;0;0;0;0;0;0;0
"19945";215;11;1997;0;0;0;0;0;0;0;0
"19946";216;12;1997;0;0;0;0;0;0;0;0
"19947";217;1;1998;0;0;0;0;0;0;0;0
"19948";218;2;1998;0;0;0;0;0;0;0;0
"19949";219;3;1998;0;0;0;0;0;0;0;0
"19950";220;4;1998;0;0;0;0;0;0;0;0
"19951";221;5;1998;0;0;0;0;0;0;0;0
"19952";222;6;1998;0;0;0;0;0;0;0;0
"19953";223;7;1998;0;0;0;0;0;0;0;0
"19954";224;8;1998;0;0;0;0;0;0;0;0
"19955";225;9;1998;0;0;0;0;0;0;0;0
"19956";226;10;1998;0;0;0;0;0;0;0;0
"19957";227;11;1998;0;0;0;0;0;0;0;0
"19958";228;12;1998;0;0;0;0;0;0;0;0
"19959";229;1;1999;0;0;0;0;0;0;0;0
"19960";230;2;1999;0;0;0;0;0;0;0;0
"19961";231;3;1999;0;0;0;0;0;0;0;0
"19962";232;4;1999;0;0;0;0;0;0;0;0
"19963";233;5;1999;0;0;0;0;0;0;0;0
"19964";234;6;1999;0;0;0;0;0;0;0;0
"19965";235;7;1999;0;0;0;0;0;0;0;0
"19966";236;8;1999;0;0;0;0;0;0;0;0
"19967";237;9;1999;0;0;0;0;0;0;0;0
"19968";238;10;1999;0;0;0;0;0;0;0;0
"19969";239;11;1999;0;0;0;0;0;0;0;0
"19970";240;12;1999;0;0;0;0;0;0;0;0
"19971";241;1;2000;0;0;0;0;0;0;0;0
"19972";242;2;2000;0;0;0;0;0;0;0;0
"19973";243;3;2000;0;0;0;0;0;0;0;0
"19974";244;4;2000;0;0;0;0;0;0;0;0
"19975";245;5;2000;0;0;0;0;0;0;0;0
"19976";246;6;2000;0;0;0;0;0;0;0;0
"19977";247;7;2000;0;0;0;0;0;0;0;0
"19978";248;8;2000;0;0;0;0;0;0;0;0
"19979";249;9;2000;0;0;0;0;0;0;0;0
"19980";250;10;2000;0;0;0;0;0;0;0;0
"19981";251;11;2000;0;0;0;0;0;0;0;0
"19982";252;12;2000;0;0;0;0;0;0;0;0
"19983";253;1;2001;0;0;0;0;0;0;0;0
"19984";254;2;2001;0;0;0;0;0;0;0;0
"19985";255;3;2001;0;0;0;0;0;0;0;0
"19986";256;4;2001;0;0;0;0;0;0;0;0
"19987";257;5;2001;0;0;0;0;0;0;0;0
"19988";258;6;2001;0;0;0;0;0;0;0;0
"19989";259;7;2001;0;0;0;0;0;0;0;0
"19990";260;8;2001;0;0;0;0;0;0;0;0
"19991";261;9;2001;0;0;0;0;0;0;0;0
"19992";262;10;2001;0;0;0;0;0;0;0;0
"19993";263;11;2001;0;0;0;0;0;0;0;0
"19994";264;12;2001;0;0;0;0;0;0;0;0
"19995";265;1;2002;0;0;0;0;0;0;0;0
"19996";266;2;2002;0;0;0;0;0;0;0;0
"19997";267;3;2002;0;0;0;0;0;0;0;0
"19998";268;4;2002;0;0;0;0;0;0;0;0
"19999";269;5;2002;0;0;0;0;0;0;0;0
"20000";270;6;2002;0;0;0;0;0;0;0;0
"20001";271;7;2002;0;0;0;0;0;0;0;0
"20002";272;8;2002;0;0;0;0;0;0;0;0
"20003";273;9;2002;0;0;0;0;0;0;0;0
"20004";274;10;2002;0;0;0;0;0;0;0;0
"20005";275;11;2002;0;0;0;0;0;0;0;0
"20006";276;12;2002;0;0;0;0;0;0;0;0
"20007";277;1;2003;0;0;0;0;0;0;0;0
"20008";278;2;2003;0;0;0;0;0;0;0;0
"20009";279;3;2003;0;0;0;0;0;0;0;0
"20010";280;4;2003;0;0;0;0;0;0;0;0
"20011";281;5;2003;0;0;0;0;0;0;0;0
"20012";282;6;2003;0;0;0;0;0;0;0;0
"20013";283;7;2003;0;0;0;0;0;0;0;0
"20014";284;8;2003;0;0;0;0;0;0;0;0
"20015";285;9;2003;0;0;0;0;0;0;0;0
"20016";286;10;2003;0;0;0;0;0;0;0;0
"20017";287;11;2003;0;0;0;0;0;0;0;0
"20018";288;12;2003;0;0;0;0;0;0;0;0
"20019";289;1;2004;0;0;0;0;0;0;0;0
"20020";290;2;2004;0;0;0;0;0;0;0;0
"20021";291;3;2004;0;0;0;0;0;0;0;0
"20022";292;4;2004;0;0;0;0;0;0;0;0
"20023";293;5;2004;0;0;0;0;0;0;0;0
"20024";294;6;2004;0;0;0;0;0;0;0;0
"20025";295;7;2004;0;0;0;0;0;0;0;0
"20026";296;8;2004;0;0;0;0;0;0;0;0
"20027";297;9;2004;0;0;0;0;0;0;0;0
"20028";298;10;2004;0;0;0;0;0;0;0;0
"20029";299;11;2004;0;0;0;0;0;0;0;0
"20030";300;12;2004;0;0;0;0;0;0;0;0
"20031";301;1;2005;0;0;0;0;0;0;0;0
"20032";302;2;2005;0;0;0;0;0;0;0;0
"20033";303;3;2005;0;0;0;0;0;0;0;0
"20034";304;4;2005;0;0;0;0;0;0;0;0
"20035";305;5;2005;0;0;0;0;0;0;0;0
"20036";306;6;2005;0;0;0;0;0;0;0;0
"20037";307;7;2005;0;0;0;0;0;0;0;0
"20038";308;8;2005;0;0;0;0;0;0;0;0
"20039";309;9;2005;0;0;0;0;0;0;0;0
"20040";310;10;2005;0;0;0;0;0;0;0;0
"20041";311;11;2005;0;0;0;0;0;0;0;0
"20042";312;12;2005;0;0;0;0;0;0;0;0
"20043";313;1;2006;0;0;0;0;0;0;0;0
"20044";314;2;2006;0;0;0;0;0;0;0;0
"20045";315;3;2006;0;0;0;0;0;0;0;0
"20046";316;4;2006;0;0;0;0;0;0;0;0
"20047";317;5;2006;0;0;0;0;0;0;0;0
"20048";318;6;2006;0;0;0;0;0;0;0;0
"20049";319;7;2006;0;0;0;0;0;0;0;0
"20050";320;8;2006;0;0;0;0;0;0;0;0
"20051";321;9;2006;0;0;0;0;0;0;0;0
"20052";322;10;2006;0;0;0;0;0;0;0;0
"20053";323;11;2006;0;0;0;0;0;0;0;0
"20054";324;12;2006;0;0;0;0;0;0;0;0
"20055";325;1;2007;0;0;0;0;0;0;0;0
"20056";326;2;2007;0;0;0;0;0;0;0;0
"20057";327;3;2007;0;0;0;0;0;0;0;0
"20058";328;4;2007;0;0;0;0;0;0;0;0
"20059";329;5;2007;0;0;0;0;0;0;0;0
"20060";330;6;2007;0;0;0;0;0;0;0;0
"20061";331;7;2007;0;0;0;0;0;0;0;0
"20062";332;8;2007;0;0;0;0;0;0;0;0
"20063";333;9;2007;0;0;0;0;0;0;0;0
"20064";334;10;2007;0;0;0;0;0;0;0;0
"20065";335;11;2007;0;0;0;0;0;0;0;0
"20066";336;12;2007;0;0;0;0;0;0;0;0
"20067";337;1;2008;0;0;0;0;0;0;0;0
"20068";338;2;2008;0;0;0;0;0;0;0;0
"20069";339;3;2008;0;0;0;0;0;0;0;0
"20070";340;4;2008;0;0;0;0;0;0;0;0
"20071";341;5;2008;0;0;0;0;0;0;0;0
"20072";342;6;2008;0;0;0;0;0;0;0;0
"20073";343;7;2008;0;0;0;0;0;0;0;0
"20074";344;8;2008;0;0;0;0;0;0;0;0
"20075";345;9;2008;0;0;0;0;0;0;0;0
"20076";346;10;2008;0;0;0;0;0;0;0;0
"20077";347;11;2008;0;0;0;0;0;0;0;0
"20078";348;12;2008;0;0;0;0;0;0;0;0
"20079";349;1;2009;0;0;0;0;0;0;0;0
"20080";350;2;2009;0;0;0;0;0;0;0;0
"20081";351;3;2009;0;0;0;0;0;0;0;0
"20082";352;4;2009;0;0;0;0;0;0;0;0
"20083";353;5;2009;0;0;0;0;0;0;0;0
"20084";354;6;2009;0;0;0;0;0;0;0;0
"20085";355;7;2009;0;0;0;0;0;0;0;0
"20086";356;8;2009;0;0;0;0;0;0;0;0
"20087";357;9;2009;0;0;0;0;0;0;0;0
"20088";358;10;2009;0;0;0;0;0;0;0;0
"20089";359;11;2009;0;0;0;0;0;0;0;0
"20090";360;12;2009;0;0;0;0;0;0;0;0
"20091";361;1;2010;0;0;0;0;0;0;0;0
